transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,btlNckRate,dur,size,rate
17,100.0,37.8032428941,440.31147541,9.27966101695,100.0,24.7979844961,415.315789474,32.0460526316,1000,121.43,10.0,707
63,44.9784067797,22.5042970522,478.93989071,13.1198895028,100.0,9.31595804989,517.617647059,9.12352941176,1000,267.48,9.98,320
219,100.0,25.2901783724,1120.35135135,2.35714285714,100.0,8.15518394649,511.863013699,6.37534246575,125.513829576,300.31,4.20,120
80,100.0,29.5341631206,587.222222222,5.05189873418,100.0,12.910035461,475.777777778,12.4863247863,1000,218.67,9.99,392
129,87.5550819672,34.4728571429,642.298701299,12.8894736842,100.0,24.9923076923,420.907407407,22.9981481481,517.67634237,173.52,10.0,495
191,100.0,18.6578149387,1015.70967742,1.69655172414,100.0,14.6341527313,411.657458564,10.5591160221,112.209021255,300.07,3.75,107
123,81.2048333333,15.355613155,629.925373134,2.12045454545,100.0,36.8972686734,422.346820809,20.1861271676,96.8308569943,300.10,3.24,92.6
47,33.5996788991,24.1897619048,448.890510949,13.8385185185,100.0,13.6092737003,477.482142857,14.5214285714,1000,201.73,9.98,425
4,11.7281081081,55.3184848485,358.297297297,20.2041666667,100.0,30.6207878788,420.5,34.1296875,1000,103.13,10.0,833
29,99.9993650794,26.2972074468,480.935064935,6.27333333333,100.0,24.0233421986,415.403669725,27.2486238532,1000,180.89,10.0,475
153,89.754877193,28.3331044601,714.884210526,6.05913978495,100.0,26.0386737089,415.958083832,20.8556886228,322.185767954,278.79,10.0,308
107,75.5993,20.4800947603,591.64375,7.39620253165,100.0,9.3180490524,616.592920354,5.36991150442,1000,300.00,7.02,201
173,96.4694223827,30.5298792271,748.939759036,7.89375,100.0,19.9554873646,417.09202454,17.2582822086,337.128124151,266.45,10.0,322
152,89.3561,24.3999442586,703.037735849,5.75673076923,100.0,31.7912931996,414.066666667,21.9311111111,268.456163589,300.02,8.97,257
201,96.6657666667,28.1075696767,869.075949367,4.04390243902,100.0,7.85943701226,609.765217391,5.16086956522,203.20773783,300.05,6.77,194
55,38.5628671329,21.4409415205,463.693181818,12.3,100.0,7.22362573099,494.957446809,11.1361702128,1000,263.42,9.98,325
68,48.5025631769,20.7919323671,490.803571429,11.2,100.0,6.5898852657,515.677419355,9.88709677419,1000,254.07,10.0,338
250,100.0,23.0452675585,1230.0,1.808,100.0,6.69760312152,572.227272727,4.6553030303,99.033147206,300.11,3.31,94.7
43,29.6415948276,24.2964862915,440.682432432,13.2397260274,100.0,12.2912770563,476.327731092,12.9058823529,1000,212.02,9.99,405
25,99.9972972973,26.1312318841,473.671052632,7.44864864865,100.0,24.2792844203,415.733944954,24.3770642202,1000,176.68,10.0,486
148,90.588364486,33.6336463224,695.311688312,10.6813333333,100.0,19.0551251956,417.232,20.2584,438.562967171,204.82,10.0,419
38,100.0,20.3813553826,520.988888889,5.10909090909,100.0,16.0872827497,412.618421053,18.8855263158,1000,249.83,10.0,344
169,96.7675666667,25.8985785953,719.234042553,5.925,100.0,29.4869397993,415.301675978,21.8592178771,262.217713219,300.09,8.76,251
